email,password,username,first_name,last_name,organization
Anu.King@school.com,password,Anu,Anu,King,Business School
Jeremy.Nelson@school.com,password,Jeremy,Jeremy,Nelson,Business School
Nargiz.Pragas@school.com,password,Nargiz,Nargiz,Pragas,Business School
Daniel.Wang@school.com,password,Daniel,Daniel,Wang,Business School
Baird.Vaughan@school.com,password,Baird,Baird,Vaughan,Business School
Rob.Cortez@school.com,password,Rob,Rob,Cortez,Business School
Rob.King@school.com,password,Rob,Rob,King,Business School
Sarah.Park@school.com,password,Sarah,Sarah,Park,Business School
SunYoung.Moon@school.com,password,SunYoung,SunYoung,Moon,Business School
James.Paula Goellner@school.com,password,James,James,Paula Goellner,Business School
MJ.Chaldysheva@school.com,password,MJ,MJ,Chaldysheva,Business School
Melissa.Lee@school.com,password,Melissa,Melissa,Lee,Business School
Dina.Wang@school.com,password,Dina,Dina,Wang,Business School
Scott.Yang@school.com,password,Scott,Scott,Yang,Business School
Sky.Bhuller@school.com,password,Sky,Sky,Bhuller,Business School
Anu.Doyle@school.com,password,Anu,Anu,Doyle,Business School
Rob.White@school.com,password,Rob,Rob,White,Business School
Antoinette.Ortega@school.com,password,Antoinette,Antoinette,Ortega,Business School
Scott.Dwyer@school.com,password,Scott,Scott,Dwyer,Business School
Matt.Chaldysheva@school.com,password,Matt,Matt,Chaldysheva,Business School
Matt.Verma@school.com,password,Matt,Matt,Verma,Business School
Peter.Shah@school.com,password,Peter,Peter,Shah,Business School
Anna.Wang@school.com,password,Anna,Anna,Wang,Business School
Sonja.Gong@school.com,password,Sonja,Sonja,Gong,Business School
Sarah.Fortin@school.com,password,Sarah,Sarah,Fortin,Business School
Sarah.Dwyer@school.com,password,Sarah,Sarah,Dwyer,Business School
Felipe.Zhang@school.com,password,Felipe,Felipe,Zhang,Business School
Leopoldo.O'Brien@school.com,password,Leopoldo,Leopoldo,O'Brien,Business School
Kevin.Hamilton@school.com,password,Kevin,Kevin,Hamilton,Business School
Felipe.Boyce@school.com,password,Felipe,Felipe,Boyce,Business School
Jing.Park@school.com,password,Jing,Jing,Park,Business School
Danny.Mershimer@school.com,password,Danny,Danny,Mershimer,Business School
Sam.Merchan@school.com,password,Sam,Sam,Merchan,Business School
Matt.Dwyer@school.com,password,Matt,Matt,Dwyer,Business School
James.Haynie@school.com,password,James,James,Haynie,Business School
MJ.Cuevas@school.com,password,MJ,MJ,Cuevas,Business School
Avirishu.Park@school.com,password,Avirishu,Avirishu,Park,Business School
Ryan.Ghaly@school.com,password,Ryan,Ryan,Ghaly,Business School
Irma.O'Brien@school.com,password,Irma,Irma,O'Brien,Business School
Michael.Sadigzade@school.com,password,Michael,Michael,Sadigzade,Business School
Scott.Xiao@school.com,password,Scott,Scott,Xiao,Business School
Michael.Huston@school.com,password,Michael,Michael,Huston,Business School
Wilther.Levinson@school.com,password,Wilther,Wilther,Levinson,Business School
Baird.Levinson@school.com,password,Baird,Baird,Levinson,Business School
Michael.Kliner@school.com,password,Michael,Michael,Kliner,Business School
Junghoon.Bhuller@school.com,password,Junghoon,Junghoon,Bhuller,Business School
Felipe.Cuevas@school.com,password,Felipe,Felipe,Cuevas,Business School
Kyle.Wang@school.com,password,Kyle,Kyle,Wang,Business School
Jing.Verma@school.com,password,Jing,Jing,Verma,Business School
Scott.Aksakov@school.com,password,Scott,Scott,Aksakov,Business School
Alex.Nelson@school.com,password,Alex,Alex,Nelson,Business School
Irma.Moon@school.com,password,Irma,Irma,Moon,Business School
Pete.Jachi@school.com,password,Pete,Pete,Jachi,Business School
Gus.O'Callaghan@school.com,password,Gus,Gus,O'Callaghan,Business School
Alex.Zhang@school.com,password,Alex,Alex,Zhang,Business School
Felipe.Bhuller@school.com,password,Felipe,Felipe,Bhuller,Business School
Jeremy.O'Brien@school.com,password,Jeremy,Jeremy,O'Brien,Business School
Felipe.Paula Goellner@school.com,password,Felipe,Felipe,Paula Goellner,Business School
Simon.Haynie@school.com,password,Simon,Simon,Haynie,Business School
Richard.Moon@school.com,password,Richard,Richard,Moon,Business School
Jonathan.Naranjo@school.com,password,Jonathan,Jonathan,Naranjo,Business School
Deena.Paula Goellner@school.com,password,Deena,Deena,Paula Goellner,Business School
James.Stevens@school.com,password,James,James,Stevens,Business School
Brian.White@school.com,password,Brian,Brian,White,Business School
Kate.Schutt@school.com,password,Kate,Kate,Schutt,Business School
Stephanie.Huston@school.com,password,Stephanie,Stephanie,Huston,Business School
Felipe.O'Brien@school.com,password,Felipe,Felipe,O'Brien,Business School
Daniel.Saito@school.com,password,Daniel,Daniel,Saito,Business School
Deena.Stevens@school.com,password,Deena,Deena,Stevens,Business School
Shangril.Kim@school.com,password,Shangril,Shangril,Kim,Business School
Junghoon.Ghaly@school.com,password,Junghoon,Junghoon,Ghaly,Business School
